Image Name,Description,Download Count,Stars Count,Tags,Last Updated,Official Status
centos,DEPRECATED; The official build of CentOS.,1B+,7.8K,,N/A,Updated 2 years ago,Official
sonarqube,SonarQube is an open source platform for continuous inspection of code quality.,1B+,2.4K,Integration & Delivery,N/A,Updated 12 days ago,Official
haproxy,"HAProxy - The Reliable, High Performance TCP/HTTP Load Balancer",1B+,1.9K,Web Servers,N/A,Updated 2 hours ago,Official
influxdb,InfluxDB is the open source time series database built for real-time analytic workloads.,1B+,1.9K,Databases & Storage,N/A,Updated 7 days ago,Official
consul,"Consul is a datacenter runtime that provides service discovery, configuration, and orchestration.",1B+,1.4K,,N/A,Updated 8 months ago,Official
nextcloud,Nextcloud manual docker image,500M+,4.2K,Content Management System,N/A,Updated 6 days ago,Official
amazonlinux,"Amazon Linux provides a stable, secure, and high-performance execution environment for applications.",500M+,1.4K,Operating Systems,N/A,Updated 14 days ago,Official
elasticsearch,Elasticsearch is a powerful open source search and analytics engine that makes data easy to explore.,500M+,6.4K,Databases & Storage,N/A,Updated 13 days ago,Official
tomcat,Apache Tomcat is an open source implementation of the Java Servlet and JavaServer Pages technologies,500M+,3.7K,Web Servers,N/A,Updated 11 days ago,Official
maven,Apache Maven is a software project management and comprehension tool.,500M+,1.6K,Languages & Frameworks,N/A,Updated 11 days ago,Official
caddy,"Caddy 2 is a powerful, enterprise-ready, open source web server with automatic HTTPS written in Go.",500M+,805,Web Servers,N/A,Updated a month ago,Official
eclipse-mosquitto,"Eclipse Mosquitto is an open source message broker which implements MQTT version 5, 3.1.1 and 3.1",500M+,1.3K,"Internet of Things, Message Queues",N/A,Updated 19 days ago,Official
telegraf,Telegraf is an agent for collecting metrics and writing them to InfluxDB or other outputs.,500M+,683,Monitoring & Observability,N/A,Updated 7 days ago,Official
vault,Vault is a tool for securely accessing secrets via a unified interface and tight access control.,500M+,1.1K,Security,N/A,Updated 8 months ago,Official
bash,Bash is the GNU Project's Bourne Again SHell,100M+,666,Developer Tools,N/A,Updated 6 days ago,Official
adminer,DEPRECATED; Database management in a single PHP file.,100M+,931,Databases & Storage,N/A,Updated 3 months ago,Official
ghost,"Publish by web and email newsletter, with member signups and subscription payments.",100M+,1.7K,Content Management System,N/A,Updated 3 hours ago,Official
solr,"Solr is the blazing-fast, open source, multi-modal search platform built on Apache Lucene.",100M+,998,Databases & Storage,N/A,Updated 11 days ago,Official
kong,The Cloud-Native API Gateway for APIs and Microservices,100M+,804,API Management,N/A,Updated 2 months ago,Official
zookeeper,Apache ZooKeeper is an open-source server which enables highly reliable distributed coordination.,100M+,1.5K,Databases & Storage,N/A,Updated 7 days ago,Official
neo4j,"Neo4j is a highly scalable, robust native graph database.",100M+,1.3K,Databases & Storage,N/A,Updated 4 days ago,Official
gradle,Gradle is a build tool with a focus on build automation and support for multi-language development.,100M+,595,Developer Tools,N/A,Updated 11 days ago,Official
mongo-express,"Web-based MongoDB admin interface, written with Node.js and express",100M+,1.5K,Databases & Storage,N/A,Updated a month ago,Official
perl,"Perl is a high-level, general-purpose, interpreted, dynamic programming language.",100M+,464,Languages & Frameworks,N/A,Updated 14 days ago,Official
buildpack-deps,"A collection of common build dependencies used for installing various modules, e.g., gems.",100M+,675,Developer Tools,N/A,Updated 16 days ago,Official
kibana,Kibana gives shape to any kind of data — structured and unstructured — indexed in Elasticsearch.,100M+,2.8K,Monitoring & Observability,N/A,Updated 13 days ago,Official
cassandra,Apache Cassandra is an open-source distributed storage system.,100M+,1.6K,Databases & Storage,N/A,Updated 11 days ago,Official
nats,"NATS is an open-source, high-performance, cloud native messaging system.",100M+,494,Message Queues,N/A,Updated 18 days ago,Official
drupal,Drupal is an open source content management platform powering millions of websites and applications.,100M+,1.1K,Content Management System,N/A,Updated 5 days ago,Official
logstash,Logstash is a tool for managing events and logs.,100M+,2.2K,Monitoring & Observability,N/A,Updated 13 days ago,Official
couchdb,"CouchDB is a database that uses JSON for documents, an HTTP API, & JavaScript/declarative indexing.",100M+,569,Databases & Storage,N/A,Updated 13 days ago,Official
percona,Percona Server is a fork of the MySQL relational database management system created by Percona.,100M+,634,Databases & Storage,N/A,Updated 4 months ago,Official
composer,Composer is a dependency manager written in and for PHP.,100M+,1.1K,Developer Tools,N/A,Updated 5 days ago,Official
eclipse-temurin,Official Images for OpenJDK binaries built by Eclipse Temurin.,100M+,606,Languages & Frameworks,N/A,Updated 11 days ago,Official
chronograf,Chronograf is a visualization tool for time series data in InfluxDB.,100M+,365,Monitoring & Observability,N/A,Updated 19 days ago,Official
jenkins,"DEPRECATED; use ""jenkins/jenkins:lts"" instead",100M+,5.7K,,N/A,Updated 6 years ago,Official
java,"DEPRECATED; use ""openjdk"" (or other JDK implementations) instead",100M+,2.0K,,N/A,Updated 8 years ago,Official
teamspeak,TeamSpeak is software for quality voice communication via the Internet.,100M+,555,,N/A,Updated 2 months ago,Official
matomo,Matomo is the leading open-source analytics platform that gives you more than powerful analytics.,100M+,339,Monitoring & Observability,N/A,Updated 6 days ago,Official
sentry,DEPRECATED; https://develop.sentry.dev/self-hosted/,100M+,657,,N/A,Updated 5 years ago,Official
fedora,Official Docker builds of Fedora,100M+,1.2K,Operating Systems,N/A,Updated 4 days ago,Official
datadog/agent,Docker container for the new Datadog Agent,1B+,154,Monitoring & Observability,Datadog,N/A,Not Official
adoptopenjdk,DEPRECATED; use https://hub.docker.com/_/eclipse-temurin/,100M+,376,,N/A,Updated 3 years ago,Official
nats-streaming,"DEPRECATED; An open-source, high-performance, cloud native messaging streaming system.",50M+,167,,N/A,Updated 5 months ago,Official
amazoncorretto,"Corretto is a no-cost, production-ready distribution of the Open Java Development Kit (OpenJDK).",50M+,427,Languages & Frameworks,N/A,Updated 14 days ago,Official
rust,"Rust is a systems programming language focused on safety, speed, and concurrency.",50M+,1.0K,Languages & Frameworks,N/A,Updated 16 days ago,Official
flink,Apache Flink® is a powerful open-source distributed stream and batch processing framework.,50M+,435,Data Science,N/A,Updated 12 days ago,Official
couchbase,Couchbase Server is a NoSQL document database with a distributed architecture.,50M+,923,Databases & Storage,N/A,Updated 10 days ago,Official
joomla,Joomla! is an open source content management system.,50M+,450,Content Management System,N/A,Updated 6 days ago,Official
swarm,"DEPRECATED; use ""docker swarm init"" instead",50M+,1.1K,,N/A,Updated 4 years ago,Official
groovy,Apache Groovy is a multi-faceted language for the Java platform.,50M+,153,Languages & Frameworks,N/A,Updated 11 days ago,Official
rethinkdb,"RethinkDB is an open-source, document database that makes it easy to build and scale realtime apps.",50M+,633,Databases & Storage,N/A,Updated 18 days ago,Official
rocket.chat,The Complete Open Source Chat Solution,50M+,826,,N/A,Updated 19 days ago,Official
redmine,Redmine is a flexible project management web application written using Ruby on Rails framework,50M+,1.2K,Content Management System,N/A,Updated an hour ago,Official
phpmyadmin,phpMyAdmin - A web interface for MySQL and MariaDB.,50M+,1.0K,Databases & Storage,N/A,Updated 7 days ago,Official
erlang,Erlang is a programming language used to build massively scalable systems with high availability.,50M+,366,Languages & Frameworks,N/A,Updated an hour ago,Official
elixir,"Elixir is a dynamic, functional language for building scalable and maintainable applications.",50M+,570,Languages & Frameworks,N/A,Updated 16 days ago,Official
kapacitor,"Kapacitor is an open source framework for processing, monitoring, and alerting on time series data.",50M+,264,Monitoring & Observability,N/A,Updated 7 days ago,Official
owncloud,"DEPRECATED; use ""owncloud/server"" instead",50M+,1.4K,,N/A,Updated 6 years ago,Official
grafana/grafana,The official Grafana docker container,1B+,3.2K,"Internet of Things, Monitoring & Observability, Security",Grafana Labs,N/A,Not Official
bitnami/kubectl,Bitnami container image for Kubectl,1B+,126,Developer Tools,VMware,N/A,Not Official
jruby,JRuby (http://www.jruby.org) is an implementation of Ruby (http://www.ruby-lang.org) on the JVM.,50M+,118,Languages & Frameworks,N/A,Updated 2 hours ago,Official
timberio/vector,"A High-Performance Logs, Metrics, and Events Router",1B+,36,,"Timber Technologies, Inc.",N/A,Not Official
bitnami/postgresql,Bitnami container image for PostgreSQL,1B+,295,"Databases & Storage, Integration & Delivery, Security",VMware,N/A,Not Official
mediawiki,MediaWiki is a free software open source wiki package written in PHP.,10M+,563,Content Management System,N/A,Updated 7 days ago,Official
mono,DEPRECATED; Mono is an open source implementation of Microsoft's .NET Framework,10M+,522,Languages & Frameworks,N/A,Updated 4 months ago,Official
odoo,Odoo (formerly known as OpenERP) is a suite of open-source business apps.,10M+,1.4K,Content Management System,N/A,Updated 6 days ago,Official
newrelic/infrastructure-bundle,New Relic Infrastructure containerised agent bundle,1B+,12,,New Relic,N/A,Not Official
rancher/rancher-agent,N/A,1B+,54,,Rancher by SUSE,N/A,Not Official
bitnami/redis,Bitnami container image for Redis,1B+,306,"Databases & Storage, Message Queues, Monitoring & Observability",VMware,N/A,Not Official
pypy,"PyPy is a fast, compliant alternative implementation of the Python language.",10M+,392,Languages & Frameworks,N/A,Updated 16 days ago,Official
jetty,Jetty provides a Web server and javax.servlet container.,10M+,408,Web Servers,N/A,Updated 12 days ago,Official
bitnami/sealed-secrets-controller,Bitnami container image for Sealed Secrets,1B+,9,"Integration & Delivery, Security",VMware,N/A,Not Official
portainer/portainer,"This Repo is now deprecated, use portainer/portainer-ce instead.",1B+,2.5K,,Portainer.io,N/A,Not Official
clojure,Clojure is a dialect of Lisp that runs on the JVM.,10M+,360,Languages & Frameworks,N/A,Updated 11 days ago,Official
arangodb,"ArangoDB - a scalable graph database system to drive value from connected data, faster.",10M+,291,Databases & Storage,N/A,Updated 5 days ago,Official
oraclelinux,Official Docker builds of Oracle Linux.,10M+,1.1K,Operating Systems,N/A,Updated 10 days ago,Official
rockylinux,The official build of Rocky Linux.,10M+,261,Operating Systems,N/A,Updated 5 months ago,Official
percona/percona-xtradb-cluster-operator,Percona XtraDB Cluster Operator,1B+,17,,Percona,N/A,Not Official
xwiki,XWiki: The Advanced Open Source Enterprise Wiki.,10M+,306,Content Management System,N/A,Updated 5 days ago,Official
amazon/aws-for-fluent-bit,Fluent Bit image with plugins for AWS,1B+,29,"Integration & Delivery, Monitoring & Observability, Networking",Amazon Web Services,N/A,Not Official
grafana/promtail,N/A,1B+,166,,Grafana Labs,N/A,Not Official
grafana/loki,Loki - Cloud Native Log Aggregation by Grafana,1B+,264,"Databases & Storage, Integration & Delivery, Monitoring & Observability",Grafana Labs,N/A,Not Official
znc,ZNC - An advanced IRC bouncer,10M+,117,,N/A,Updated 2 months ago,Official
ros,The Robot Operating System (ROS) is an open source project for building robot applications.,10M+,661,Operating Systems,N/A,Updated 19 days ago,Official
archlinux,"Arch Linux is a simple, lightweight Linux distribution aimed for flexibility.",10M+,586,Operating Systems,N/A,Updated 2 hours ago,Official
swift,"Swift is a high-performance system programming language, to learn more about Swift visit swift.org.",10M+,702,Languages & Frameworks,N/A,Updated 4 days ago,Official
newrelic/nri-kube-events,N/A,1B+,2,,New Relic,N/A,Not Official
hylang,Hy is a Lisp dialect that translates expressions into Python's abstract syntax tree.,10M+,60,Languages & Frameworks,N/A,Updated 16 days ago,Official
newrelic/nri-kubernetes,NewRelic Kubernetes integration for v3 versions and above.,1B+,2,,New Relic,N/A,Not Official
haxe,"Haxe is a modern, high level, static typed programming language with multiple compilation targets.",10M+,62,Languages & Frameworks,N/A,Updated 17 days ago,Official
gcc,The GNU Compiler Collection is a compiling system that supports several languages.,10M+,864,Languages & Frameworks,N/A,Updated 16 days ago,Official
tomee,Apache TomEE is an all-Apache Java EE certified stack where Apache Tomcat is top dog.,10M+,117,Web Servers,N/A,Updated 11 days ago,Official
bitnami/mongodb,Bitnami container image for MongoDB,1B+,256,"Databases & Storage, Integration & Delivery, Internet of Things",VMware,N/A,Not Official
google/cadvisor,"DEPRECATED: New images will NOT be pushed.

Please use gcr.io/cadvisor/cadvisor instead.",1B+,498,,Google,N/A,Not Official
websphere-liberty,WebSphere Liberty multi-architecture images based on Ubuntu,10M+,301,Web Servers,N/A,Updated a minute ago,Official
django,"DEPRECATED; use ""python"" instead",10M+,1.2K,,N/A,Updated 8 years ago,Official
sapmachine,"Official SapMachine Docker Image, SAP's build of OpenJDK.",10M+,51,Languages & Frameworks,N/A,Updated 19 days ago,Official
amazon/cloudwatch-agent,Amazon CloudWatch Agent,1B+,35,"Monitoring & Observability, Networking, Security",Amazon Web Services,N/A,Not Official
yourls,YOURLS is a set of PHP scripts that will allow you to run Your Own URL Shortener.,10M+,301,Content Management System,N/A,Updated 7 days ago,Official
piwik,"DEPRECATED; use ""matomo"" instead",10M+,194,,N/A,Updated 6 years ago,Official
lacework/datacollector,"Lacework is cloud security for AWS, Azure, GCP and other public and private cloud.",1B+,20,"Integration & Delivery, Monitoring & Observability, Security",Lacework Inc,N/A,Not Official
amazon/aws-xray-daemon,The AWS X-Ray daemon gathers raw segment data and relays it to the AWS X-Ray API.,1B+,34,Monitoring & Observability,Amazon Web Services,N/A,Not Official
crate,"CrateDB is an open-source, distributed SQL database empowering you to turn data into business value.",10M+,225,Databases & Storage,N/A,Updated 4 days ago,Official
amazon/amazon-ecs-agent,Amazon Elastic Container Service Agent,1B+,106,,Amazon Web Services,N/A,Not Official
aerospike,"Aerospike – the reliable, high performance, distributed database optimized for flash and RAM.",10M+,145,Databases & Storage,N/A,Updated an hour ago,Official
portainer/agent,An agent used to manage all the resources in a Swarm cluster.,1B+,255,"Integration & Delivery, Internet of Things, Monitoring & Observability",Portainer.io,N/A,Not Official
portainer/portainer-ce,Portainer CE - a lightweight service delivery platform for containerized applications,1B+,2.4K,"Integration & Delivery, Monitoring & Observability, Networking",Portainer.io,N/A,Not Official
varnish,Varnish is an HTTP accelerator designed for content-heavy dynamic web sites as well as APIs.,10M+,174,Web Servers,N/A,Updated 19 days ago,Official
nginxinc/nginx-unprivileged,Unprivileged NGINX Dockerfiles,1B+,157,"Integration & Delivery, Security, Web Servers",NGINX Inc.,N/A,Not Official
newrelic/newrelic-fluentbit-output,Base container with new relic output plugin for use with our k8 integration and custom deployments.,1B+,3,,New Relic,N/A,Not Official
photon,Photon OS is an open source minimal Linux container host.,10M+,196,Operating Systems,N/A,Updated 12 days ago,Official
iojs,"DEPRECATED; use ""node"" instead",10M+,143,,N/A,Updated 8 years ago,Official
dynatrace/dynatrace-operator,Automate Kubernetes observability with Dynatrace,1B+,5,"Integration & Delivery, Monitoring & Observability, Networking",Dynatrace,N/A,Not Official
nginx/nginx-ingress,NGINX and  NGINX Plus Ingress Controllers for Kubernetes,1B+,96,,NGINX Inc.,N/A,Not Official
bitnami/external-dns,Bitnami container image for ExternalDNS,1B+,19,"Integration & Delivery, Monitoring & Observability, Networking",VMware,N/A,Not Official
docker/aci-hostnames-sidecar,N/A,1B+,3,"Integration & Delivery, Networking","Docker, Inc.",N/A,Not Official
amazon/aws-efs-csi-driver,Amazon Elastic Filesystem CSI Driver,1B+,5,,Amazon Web Services,N/A,Not Official
dynatrace/oneagent,Non-immutable installer image for Dynatrace OneAgent,1B+,27,"Integration & Delivery, Monitoring & Observability, Security",Dynatrace,N/A,Not Official
amazon/aws-cli,Universal Command Line Interface for Amazon Web Services,1B+,306,Developer Tools,Amazon Web Services,N/A,Not Official
julia,"Julia is a high-level, high-performance dynamic programming language for technical computing.",10M+,336,Languages & Frameworks,N/A,Updated 6 days ago,Official
orientdb,OrientDB a Multi-Model Open Source NoSQL DBMS that combines graphs and documents.,10M+,188,Databases & Storage,N/A,Updated 6 days ago,Official
kong/kong-gateway,Kong Gateway - The world’s most popular API gateway.,500M+,50,,Kong Inc.,N/A,Not Official
docker/ucp-agent,N/A,500M+,12,,"Docker, Inc.",N/A,Not Official
bitnami/mariadb,Bitnami container image for MariaDB,500M+,196,"Databases & Storage, Security",VMware,N/A,Not Official
open-liberty,Open Liberty multi-architecture images based on Ubuntu,10M+,69,Web Servers,N/A,Updated 37 minutes ago,Official
ibmjava,"Official IBM® SDK, Java™ Technology Edition Docker Image.",10M+,127,Languages & Frameworks,N/A,Updated 2 months ago,Official
newrelic/infrastructure-k8s,NewRelic Kubernetes integration.,500M+,15,,New Relic,N/A,Not Official
bonita,Bonita is an open-source business process management and workflow suite,10M+,187,Languages & Frameworks,N/A,Updated 12 days ago,Official
docker/ucp-auth,Please refer to the docker/ucp image for more information,500M+,4,"Integration & Delivery, Networking, Security","Docker, Inc.",N/A,Not Official
rancher/mirrored-pause,N/A,500M+,5,,Rancher by SUSE,N/A,Not Official
newrelic/k8s-metadata-injection,N/A,500M+,5,,New Relic,N/A,Not Official
fluentd,Fluentd is an open source data collector for unified logging layer,10M+,198,Monitoring & Observability,N/A,Updated 5 days ago,Official
monica,Monica – the Personal Relationship Manager.,10M+,202,Content Management System,N/A,Updated 7 days ago,Official
bitnami/rabbitmq,Bitnami container image for RabbitMQ,500M+,122,"Integration & Delivery, Message Queues, Security",VMware,N/A,Not Official
dynatrace/dynatrace-codemodules,Enterprise-grade observability for your microservices,500M+,2,"Integration & Delivery, Monitoring & Observability",Dynatrace,N/A,Not Official
r-base,R is a system for statistical computation and graphics.,10M+,540,Languages & Frameworks,N/A,Updated 12 minutes ago,Official
neurodebian,"NeuroDebian provides neuroscience research software for Debian, Ubuntu, and other derivatives.",5M+,113,Data Science,N/A,Updated 18 days ago,Official
rancher/pause,N/A,500M+,8,,Rancher by SUSE,N/A,Not Official
opensuse,DEPRECATED; for current images by the openSUSE Project see opensuse/leap and opensuse/tumbleweed.,5M+,333,,N/A,Updated 5 years ago,Official
grafana/grafana-image-renderer,N/A,500M+,26,"Integration & Delivery, Monitoring & Observability",Grafana Labs,N/A,Not Official
circleci/postgres,The PostgreSQL object-relational database system provides reliability and data integrity.,500M+,32,,CircleCI,N/A,Not Official
storm,Apache Storm is a free and open source distributed realtime computation system.,5M+,200,Data Science,N/A,Updated 12 days ago,Official
rails,"DEPRECATED; use ""ruby"" instead",5M+,907,,N/A,Updated 8 years ago,Official
ubuntu-debootstrap,"DEPRECATED; use ""ubuntu"" instead",5M+,52,,N/A,Updated 9 years ago,Official
circleci/node,Node.js is a JavaScript-based platform for server-side and networking applications.,100M+,133,,CircleCI,N/A,Not Official
netdata/netdata,"The official image for monitoring systems, containers and applications with Netdata.",100M+,540,"Monitoring & Observability, Security",Netdata,N/A,Not Official
irssi,irssi - The IRC client of the future,5M+,175,,N/A,Updated 18 days ago,Official
hashicorp/terraform,Automatic builds of Terraform. See README for more use and info.,100M+,483,Developer Tools,"HashiCorp, Inc.",N/A,Not Official
haskell,Haskell is an advanced purely-functional programming language.,5M+,484,Languages & Frameworks,N/A,Updated 17 days ago,Official
datadog/docker-dd-agent,Docker container for the Datadog Agent.,100M+,100,,Datadog,N/A,Not Official
almalinux,The official build of AlmaLinux OS.,5M+,175,Operating Systems,N/A,Updated 10 days ago,Official
grafana/agent,N/A,100M+,23,,Grafana Labs,N/A,Not Official
docker/dockerfile,Official Dockerfile frontend images that enable building Dockerfiles with BuildKit,100M+,103,Developer Tools,"Docker, Inc.",N/A,Not Official
bitnami/nginx,Bitnami container image for NGINX,100M+,193,"API Management, Security, Web Servers",VMware,N/A,Not Official
cimg/node,The CircleCI Node.js Docker Convenience Image.,100M+,23,"Languages & Frameworks, Integration & Delivery, Operating Systems",CircleCI,N/A,Not Official
kong/kubernetes-ingress-controller,Use Kong for Kubernetes Ingress,100M+,10,,Kong Inc.,N/A,Not Official
circleci/ruby,"Ruby is a dynamic, reflective, object-oriented, general-purpose, open-source programming language.",100M+,79,,CircleCI,N/A,Not Official
google/cloud-sdk,Google Cloud SDKbundle with all components and dependencies,100M+,438,"Data Science, Databases & Storage, Integration & Delivery",Google,N/A,Not Official
backdrop,The comprehensive CMS for small to medium sized businesses and non-profits.,5M+,116,Content Management System,N/A,Updated 7 days ago,Official
clearlinux,Official docker build of Clear Linux OS for Intel Architecture,5M+,177,Operating Systems,N/A,Updated 7 days ago,Official
cirros,CirrOS is a Tiny OS that specializes in running on a cloud.,5M+,78,Operating Systems,N/A,Updated a month ago,Official
plone,Plone is a free and open source content management system built on top of Zope.,5M+,99,Content Management System,N/A,Updated a month ago,Official
notary,Notary server and signer cooperatively handle signing and distribution of notary repositories.,5M+,74,Security,N/A,Updated 7 months ago,Official
bitnami/zookeeper,Bitnami container image for ZooKeeper,100M+,122,"Integration & Delivery, Networking, Security",VMware,N/A,Not Official
amazon/dynamodb-local,DynamoDB local,100M+,469,"Databases & Storage, Integration & Delivery",Amazon Web Services,N/A,Not Official
newrelic/nri-ecs,New Relic AWS ECS integration,100M+,2,,New Relic,N/A,Not Official
bitnami/kafka,Bitnami container image for Apache Kafka,100M+,896,"Integration & Delivery, Message Queues, Monitoring & Observability",VMware,N/A,Not Official
ibm-semeru-runtimes,IBM Semeru Runtimes Official Images for OpenJDK and Eclipse OpenJ9 binaries.,5M+,52,Languages & Frameworks,N/A,Updated 2 hours ago,Official
balena/aarch64-supervisor,N/A,100M+,3,,balena,N/A,Not Official
rancher/rancher,A container management platform built for organizations that deploy containers in production.,100M+,432,"Integration & Delivery, Monitoring & Observability, Security",Rancher by SUSE,N/A,Not Official
lightstreamer,Lightstreamer is a real-time messaging server optimized for the Internet.,5M+,91,Message Queues,N/A,Updated 12 days ago,Official
docker/ecs-searchdomain-sidecar,N/A,100M+,1,"Integration & Delivery, Monitoring & Observability, Networking","Docker, Inc.",N/A,Not Official
circleci/mysql,"MySQL is a widely used, open-source relational database management system (RDBMS).",100M+,30,,CircleCI,N/A,Not Official
bitnami/minideb,A minimalist Debian-based image built specifically to be used as a base image for containers.,100M+,164,"Integration & Delivery, Internet of Things, Operating Systems",VMware,N/A,Not Official
mirantis/ucp-agent,N/A,100M+,0,,Mirantis Inc,N/A,Not Official
postfixadmin,Postfix Admin - web based administration interface for Postfix mail servers.,5M+,203,Developer Tools,N/A,Updated 7 days ago,Official
geonetwork,GeoNetwork is a FOSS catalog for spatially referenced resources.,5M+,86,Data Science,N/A,Updated 11 days ago,Official
mirantis/ucp-agent-win,N/A,100M+,0,,Mirantis Inc,N/A,Not Official
nuxeo,DEPRECATED; contact Nuxeo for support/updates,5M+,95,,N/A,Updated 3 years ago,Official
friendica,Welcome to the free social web.,5M+,101,,N/A,Updated 6 days ago,Official
newrelic/newrelic-prometheus-configurator,New Relic Prometheus Configurator Image,100M+,4,,New Relic,N/A,Not Official
hello-seattle,Hello from DockerCon 2016 (Seattle)!,1M+,14,,N/A,Updated 6 years ago,Official
cimg/base,N/A,100M+,14,,CircleCI,N/A,Not Official
circleci/redis,CircleCI images for Redis,100M+,17,,CircleCI,N/A,Not Official
rancher/shell,N/A,100M+,0,,Rancher by SUSE,N/A,Not Official
newrelic/nrsysmond,Public beta image for New Relic's Linux Server Monitor,100M+,32,,New Relic,N/A,Not Official
circleci/python,"Python is an interpreted, interactive, object-oriented, open-source programming language.",100M+,90,,CircleCI,N/A,Not Official
cimg/ruby,The CircleCI Ruby Docker Convenience Image.,100M+,11,"Languages & Frameworks, Integration & Delivery, Security",CircleCI,N/A,Not Official
bitnami/mysql,Bitnami container image for MySQL,100M+,118,"Databases & Storage, Integration & Delivery, Security",VMware,N/A,Not Official
gazebo,"Gazebo is an open source project for simulating robots, offering robust physics and rendering.",1M+,144,Languages & Frameworks,N/A,Updated 19 days ago,Official
cimg/python,N/A,100M+,22,"Languages & Frameworks, Integration & Delivery, Security",CircleCI,N/A,Not Official
bitnami/azure-cli,Bitnami container image for Azure CLI,100M+,11,Developer Tools,VMware,N/A,Not Official
grafana/fluent-bit-plugin-loki,N/A,100M+,7,,Grafana Labs,N/A,Not Official
cimg/postgres,N/A,100M+,3,"Databases & Storage, Integration & Delivery, Security",CircleCI,N/A,Not Official
convertigo,Enterprise grade full-stack Open source Low Code & No Code Platform for web & mobile application,1M+,57,Languages & Frameworks,N/A,Updated 4 hours ago,Official
php-zendserver,DEPRECATED; Zend Server - the integrated PHP application platform for mobile and web apps.,1M+,213,Languages & Frameworks,N/A,Updated a year ago,Official
grafana/mimir,"Horizontally scalable, highly available, multi-tenant, long-term storage for Prometheus.",100M+,11,"Databases & Storage, Integration & Delivery, Monitoring & Observability",Grafana Labs,N/A,Not Official
rancher/metrics-server,N/A,100M+,6,,Rancher by SUSE,N/A,Not Official
rancher/fleet-agent,Rancher Fleet Agent,100M+,5,"Integration & Delivery, Networking, Security",Rancher by SUSE,N/A,Not Official
amazon/aws-otel-collector,AWS Distro for OpenTelemetry Collector is a AWS supported version of OpenTelemetry Collector.,100M+,11,"Integration & Delivery, Monitoring & Observability",Amazon Web Services,N/A,Not Official
bitnami/redis-cluster,Bitnami container image for Redis Cluster,100M+,50,"Databases & Storage, Message Queues, Security",VMware,N/A,Not Official
bitnami/redis-sentinel,Bitnami container image for Redis Sentinel,100M+,51,"Databases & Storage, Message Queues, Monitoring & Observability",VMware,N/A,Not Official
